기준_년분기_코드,상권_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
2024-01-01,금호삼성래미안아파트,호프-간이주점,14049860.0,264,8153201.0,5896659.0,0.0,0.0,2833031.0,5320170.0,0.0,0.0,5896659.0,7741424.0,0.0,0.0,0.0,3475405.0,2833031,10327389.0,3722471.0,0,2256543.0,1844765.0,0.0,6423734.0,3524818.0,165,99,0,0,66,99,0,0,99,132,0,0,0,66,66,198,66,0,66,33,0,99,66
2024-01-01,금호삼성래미안아파트,커피-음료,66045942.0,3554,34331855.0,31714087.0,6492702.0,5603340.0,6785975.0,5725837.0,9724001.0,16096555.0,15617532.0,0.0,1008951.0,25597145.0,31193508.0,8246338.0,0,25530221.0,40515721.0,2560131,22931031.0,20938803.0,13004359.0,5398489.0,1213129.0,1957,1597,351,369,401,370,466,771,826,0,44,1275,1701,534,0,1360,2194,128,1127,1241,674,292,92
2024-01-01,상왕십리역 6번,한식음식점,489276497.0,21015,341600058.0,147676439.0,17966837.0,89889058.0,81273959.0,72318538.0,80151666.0,68445929.0,79230510.0,0.0,16030496.0,207132253.0,73937602.0,169336899.0,22839247,242653856.0,179305578.0,1424032,30393798.0,59036787.0,64696261.0,102075409.0,164333148.0,15149,5866,1113,3680,3782,3596,2978,2758,3108,0,954,8009,3717,7468,867,10922,8436,90,2142,3407,2908,4399,6411
2024-01-01,상왕십리역 6번,커피-음료,57964397.0,8664,38473709.0,19490688.0,6596121.0,8754310.0,9897415.0,3762932.0,9462931.0,10286377.0,9204311.0,0.0,9354310.0,28054915.0,15708622.0,4846550.0,0,26900324.0,29408900.0,0,23442125.0,13796436.0,8106460.0,6348218.0,4615984.0,6260,2404,1112,1370,1423,699,1656,1319,1085,0,1577,4242,2172,673,0,4738,3848,0,3349,1729,1889,941,678
2024-01-01,행당역 2번,한식음식점,1362068922.0,32858,895253193.0,466815729.0,159867539.0,142819550.0,185670397.0,199437573.0,207458134.0,252284669.0,214531060.0,5369366.0,19731378.0,336958119.0,187574213.0,692901245.0,119534601,699913092.0,541023038.0,2202654,85433210.0,215583014.0,211800189.0,329931455.0,395985610.0,22941,9917,4177,3887,4823,5024,5030,5177,4740,63,718,10212,5788,14379,1698,16576,14513,229,2347,5236,5490,8312,9472
2024-01-01,행당역 2번,중식음식점,16981603.0,790,8702946.0,8278657.0,0.0,2842747.0,1377696.0,1417629.0,3064874.0,3122279.0,5156378.0,0.0,0.0,7662187.0,2635593.0,6683823.0,0,9481645.0,6391811.0,269549,1168047.0,2673030.0,4367696.0,4010793.0,3384340.0,465,325,0,135,90,100,140,160,165,0,0,335,115,340,0,470,295,20,80,145,180,210,130
2024-01-01,행당역 2번,치킨전문점,128587400.0,5286,88435592.0,40151808.0,13343986.0,21117390.0,13854361.0,17250605.0,22869250.0,24592458.0,15559350.0,11470895.0,0.0,3604139.0,5350743.0,49417426.0,58744197,62972786.0,52273835.0,1203694,16017035.0,17526139.0,31480024.0,35622955.0,13396775.0,3690,1596,604,871,577,748,890,979,617,448,0,176,410,2194,2058,2890,2147,94,913,969,1036,1514,511
2024-01-01,행당역 2번,분식전문점,69292692.0,8477,47953998.0,21338694.0,7838351.0,11612111.0,9087670.0,9550354.0,9865512.0,9040591.0,12298103.0,121630.0,6439389.0,22512824.0,12901926.0,21630065.0,5686858,31434775.0,35414514.0,3681349,16815393.0,12293642.0,15068630.0,14285254.0,4705020.0,6478,1999,1119,1493,1302,1222,1342,924,1075,10,444,2709,1627,3076,611,3848,4483,731,2271,1553,1547,1669,559
2024-01-01,행당역 2번,호프-간이주점,183682444.0,2457,137236667.0,46445777.0,12566896.0,13178409.0,35931689.0,36798066.0,38761607.0,33563173.0,12882604.0,39486579.0,0.0,0.0,2907325.0,32022825.0,109265715,75064614.0,88735593.0,0,21324265.0,84460154.0,28478653.0,20806747.0,8730387.0,1747,710,281,219,394,348,505,428,282,373,0,0,73,661,1350,1364,1023,0,360,850,446,473,259
2024-01-01,행당역 2번,커피-음료,84659542.0,14867,51592091.0,33067451.0,8321326.0,9524842.0,10305595.0,11941502.0,11498826.0,14874492.0,18192959.0,0.0,11611958.0,34568034.0,23461861.0,14518339.0,499350,34164046.0,46771162.0,4138589,10464806.0,21406370.0,17641822.0,17892002.0,9391616.0,9195,5672,1558,1808,1885,1992,1952,2539,3133,0,2333,5352,4259,2839,84,6274,8392,1107,2461,3518,3089,3001,1490
2024-01-01,응봉산,커피-음료,3634357.0,584,3545460.0,88897.0,265997.0,581997.0,704924.0,1042456.0,950086.0,88897.0,0.0,0.0,371561.0,1059124.0,2019628.0,184044.0,0,1282060.0,2143944.0,0,195157.0,909110.0,1684875.0,418093.0,218769.0,570,14,56,98,98,187,131,14,0,0,70,174,305,35,0,208,361,0,28,161,263,70,49
2024-01-01,왕십리파출소,한식음식점,744184282.0,13138,487624982.0,256559300.0,88871750.0,72609517.0,90628215.0,120980660.0,114534840.0,132258463.0,124300837.0,1990496.0,701781.0,147161645.0,81127222.0,432384119.0,80819019,353757468.0,274621565.0,718090,17481202.0,75541988.0,132455288.0,167574918.0,234607548.0,10160,2978,1960,1772,1843,2558,2027,1615,1363,36,47,5527,1159,5308,1061,7366,4572,36,558,1724,3379,3113,3130
2024-01-01,상왕십리역 3번,한식음식점,2093435739.0,21238,1599287357.0,494148382.0,276328522.0,308225125.0,302112715.0,338526191.0,374094804.0,312160777.0,181987605.0,991504.0,14191691.0,445037170.0,182129708.0,1171031594.0,280054072,840958038.0,368937835.0,0,60791520.0,170231507.0,215964678.0,377185884.0,385722277.0,16609,4629,2822,3079,3586,3682,3440,2982,1647,41,872,7714,2691,8388,1532,11863,5542,0,1259,3147,3144,4772,5084
2024-01-01,상왕십리역 3번,패스트푸드점,7638941.0,547,6883627.0,755314.0,244555.0,739232.0,1217089.0,1308003.0,3374748.0,0.0,755314.0,0.0,0.0,2111772.0,600137.0,3913551.0,1013481,4466055.0,737712.0,0,0.0,280765.0,3680073.0,706337.0,536591.0,443,104,16,96,114,113,104,0,104,0,0,16,24,339,168,507,16,0,0,8,467,24,24
2024-01-01,상왕십리역 3번,분식전문점,95040088.0,10487,85004395.0,10035693.0,14630498.0,19140986.0,18663189.0,16304245.0,16265477.0,10035693.0,0.0,0.0,13280453.0,39512812.0,12030232.0,30216591.0,0,34286091.0,56817253.0,326834,15815269.0,30513228.0,16883696.0,17469455.0,10094862.0,9509,978,1687,2046,2181,1774,1821,978,0,0,1637,3821,1414,3615,0,3628,6655,20,1853,3498,1845,2039,1029
2024-01-01,상왕십리역 3번,호프-간이주점,119680677.0,1966,97550029.0,22130648.0,10675353.0,18229684.0,20351255.0,26154881.0,22138856.0,19096487.0,3034161.0,8427366.0,0.0,0.0,262763.0,19502296.0,91488252,51269077.0,28269693.0,568864,2668083.0,14116743.0,27469273.0,23614556.0,11101248.0,1608,358,245,290,365,360,348,284,74,178,0,0,7,369,1412,1048,485,12,62,345,322,535,257
2024-01-01,상왕십리역 3번,커피-음료,114874767.0,14323,82899189.0,31975578.0,12665201.0,15165848.0,20449219.0,16278779.0,18340142.0,18315862.0,13659716.0,0.0,11792538.0,43754488.0,31765242.0,25529973.0,2032526,44851733.0,58832958.0,126528,21808265.0,33939121.0,18833196.0,18525505.0,10452077.0,10478,3845,1817,2044,2381,2006,2230,2227,1618,0,2441,4758,3808,3071,245,6010,7787,30,3216,4861,2149,2276,1263
2024-01-01,청계천박물관,한식음식점,166979092.0,7239,166979092.0,0.0,26676280.0,37260274.0,45565971.0,36741168.0,20735399.0,0.0,0.0,0.0,5825522.0,81874550.0,29589041.0,49689979.0,0,98687816.0,19495314.0,0,7065609.0,29069936.0,29358327.0,27108868.0,25580389.0,7239,0,1356,1613,1644,1645,981,0,0,0,231,3806,952,2250,0,4529,1068,0,374,1183,1615,1355,1067
2024-01-01,성동구보건소,한식음식점,341670797.0,2910,287087327.0,54583470.0,40343188.0,51771838.0,53624039.0,74332758.0,67015504.0,51976431.0,2607039.0,4275866.0,0.0,35631454.0,3714637.0,153599115.0,144449725,171404541.0,92294794.0,0,41485314.0,102318453.0,38129356.0,54888397.0,26877815.0,2295,615,303,388,437,594,573,535,80,105,0,162,53,1333,1257,1632,964,0,369,833,488,547,355
2024-01-01,성동구보건소,치킨전문점,33906613.0,709,23775085.0,10131528.0,4098344.0,4039712.0,3289230.0,4948501.0,7399298.0,4842964.0,5288564.0,4315280.0,0.0,0.0,105537.0,9556939.0,19928857,18832447.0,8700920.0,0,1319209.0,5698984.0,5839700.0,8061835.0,6613636.0,475,234,93,77,60,99,146,128,106,93,0,0,6,218,392,428,194,0,30,123,100,194,175
2024-01-01,성동구보건소,호프-간이주점,176709558.0,2747,114228604.0,62480954.0,12859259.0,22350125.0,12783333.0,31406137.0,34829750.0,38888390.0,23592564.0,51713137.0,1380489.0,0.0,0.0,57600925.0,66015007,108819254.0,53919750.0,0,21910369.0,68753885.0,44533197.0,16137466.0,11404086.0,1834,913,152,318,247,522,595,539,374,648,14,0,0,913,1172,1618,963,0,421,988,713,263,195
2024-01-01,왕십리역 9번,한식음식점,624166670.0,19391,506050140.0,118116530.0,94424486.0,104529230.0,114038400.0,100437634.0,92620390.0,66976394.0,51140136.0,1169566.0,13551779.0,242572468.0,66998030.0,254606703.0,45268124,325251268.0,154040321.0,2534290,21013620.0,59617993.0,134400830.0,124251433.0,137473419.0,15512,3879,2817,3136,3076,3331,3152,2271,1608,58,568,10150,2165,5866,584,11913,5416,186,937,2703,3976,4831,4698
2024-01-01,왕십리역 9번,패스트푸드점,7915516.0,1060,5150557.0,2764959.0,2157009.0,661450.0,756290.0,773314.0,802494.0,1738738.0,1026221.0,620109.0,0.0,301543.0,1018925.0,2623916.0,3351023,4971536.0,2943980.0,283969,3596740.0,1766805.0,1952473.0,219938.0,95591.0,621,439,111,102,126,141,141,274,165,83,0,63,155,429,330,802,258,69,604,237,85,45,20
2024-01-01,왕십리역 9번,치킨전문점,7341342.0,163,5862726.0,1478616.0,1470743.0,714281.0,1394253.0,1830696.0,452753.0,1338010.0,140606.0,0.0,0.0,0.0,419007.0,3021913.0,3900422,4974464.0,2366878.0,0,1460437.0,147783.0,2011003.0,1381662.0,2340457.0,124,39,29,11,22,45,17,33,6,0,0,0,17,73,73,99,64,0,18,6,41,46,52
2024-01-01,왕십리역 9번,분식전문점,18542107.0,1607,18542107.0,0.0,5196429.0,4201785.0,3647322.0,2883928.0,2612643.0,0.0,0.0,0.0,0.0,13867106.0,3871429.0,803572.0,0,9919786.0,5139285.0,133929,920535.0,1803571.0,6388393.0,2071428.0,3741215.0,1607,0,365,384,331,286,241,0,0,0,0,1124,357,126,0,831,518,18,117,179,482,214,339
2024-01-01,왕십리역 9번,커피-음료,192401276.0,37976,133130536.0,59270740.0,24060505.0,26966546.0,27609637.0,28046333.0,26447515.0,32793085.0,26477655.0,144115.0,31604736.0,62949456.0,49131658.0,42826348.0,5744963,83207818.0,98610627.0,6449926,26562598.0,38264311.0,39620242.0,40504870.0,30416496.0,26771,11205,5079,5657,5486,5350,5199,5939,5266,15,8328,11102,9660,7929,942,16967,20182,1729,6265,8036,7979,8090,5048
2024-01-01,서울숲카페거리,커피-음료,33000000.0,2594,19092352.0,13907648.0,3567001.0,3639085.0,2920879.0,3573790.0,5391597.0,7086640.0,6821008.0,0.0,0.0,10702224.0,12274407.0,10023369.0,0,8515011.0,22636573.0,211131,10301600.0,13331414.0,4258025.0,2296551.0,752863.0,1506,1088,300,266,250,286,404,564,524,0,0,857,948,789,0,661,1819,24,854,1023,332,190,56
2024-01-01,한양대역 4번,한식음식점,197169065.0,5877,169122485.0,28046580.0,38248387.0,20465589.0,37435153.0,35666459.0,37306897.0,23029644.0,5016936.0,0.0,1158771.0,98747842.0,8437586.0,74010444.0,14814422,88540740.0,39530358.0,1251559,42715453.0,21408921.0,16049083.0,31932640.0,14713442.0,5010,867,1057,914,1027,1023,989,654,213,0,29,3407,470,1832,139,3288,1524,75,1665,722,555,1221,576
2024-01-01,한양대역 4번,커피-음료,207727017.0,28852,143040241.0,64686776.0,29787551.0,29454559.0,25150969.0,29747791.0,28899371.0,30027074.0,34659702.0,20197185.0,19057654.0,39314167.0,41649933.0,52186357.0,35321721,127585346.0,78213720.0,7894768,97949397.0,26675399.0,48787702.0,19624818.0,4866981.0,19839,9013,4225,4130,3847,4004,3633,3881,5132,2820,2740,4913,5366,8359,4654,16415,12289,1152,15718,3800,4697,2749,589
2024-01-01,마장역 2번,한식음식점,2771088567.0,38189,1711691165.0,1059397402.0,308699114.0,291746275.0,326327779.0,379298391.0,405619606.0,562382155.0,497015247.0,165578630.0,72163056.0,612576927.0,344032830.0,1221843711.0,354893413,1479567266.0,724657166.0,164090,127596549.0,343307102.0,500463755.0,639182128.0,593510805.0,26774,11415,4083,5306,5442,5630,6313,5950,5465,1889,1083,13043,4474,13851,3849,21999,10104,16,1931,5827,7046,8555,8729
